time,type,id_exercice,nb_series,nb_repetition,weight
2023-12-25,Push,6,3,10,38
2023-12-25,Push,7,3,10,16
2023-12-25,Push,8,3,10,20
2023-12-25,Push,9,2,10,8
2023-12-25,Push,10,3,10,14
2023-12-25,Push,11,3,10,14
2024-01-01,Push,6,3,10,42
2024-01-01,Push,7,3,10,18
2024-01-01,Push,8,3,10,22
2024-01-01,Push,9,2,10,8
2024-01-01,Push,10,3,10,16
2024-01-01,Push,11,3,10,14
2024-01-04,Pull,13,3,10,20
2024-01-04,Pull,14,3,10,12
2024-01-04,Pull,17,2,10,10
2024-01-04,Pull,18,2,15,14
2024-01-04,Pull,19,3,10,20
2024-01-04,Pull,20,3,10,12
2024-01-05,Legs,26,2,25,0
2024-01-05,Legs,27,3,10,30
2024-01-05,Legs,28,3,10,30
2024-01-05,Legs,29,2,25,0
2024-01-08,Push,6,3,10,44
2024-01-08,Push,7,3,10,20
2024-01-08,Push,8,3,10,24
2024-01-08,Push,9,2,10,8
2024-01-08,Push,10,3,10,16
2024-01-08,Push,11,3,10,16
2024-01-10,Pull,13,3,10,24
2024-01-10,Pull,14,3,10,14
2024-01-10,Pull,17,2,10,20
2024-01-10,Pull,18,2,15,14
2024-01-10,Pull,19,3,10,20
2024-01-10,Pull,20,3,10,12
2024-01-12,Legs,26,2,25,0
2024-01-12,Legs,27,3,10,32
2024-01-12,Legs,28,3,10,32
2024-01-12,Legs,29,2,25,0
2024-01-15,Push,6,3,10,46
2024-01-15,Push,7,3,10,22
2024-01-15,Push,8,3,10,26
2024-01-15,Push,9,2,10,8
2024-01-15,Push,10,3,10,16
2024-01-15,Push,11,3,10,16
2024-01-17,Pull,13,3,10,26
2024-01-17,Pull,14,3,10,16
2024-01-17,Pull,17,2,10,22
2024-01-17,Pull,18,2,15,16
2024-01-17,Pull,19,3,10,20
2024-01-17,Pull,20,3,10,12
2024-01-19,Legs,26,2,25,0
2024-01-19,Legs,27,3,10,34
2024-01-19,Legs,28,3,10,36
2024-01-19,Legs,29,2,25,0
2024-02-10,Legs,27,3,10,20
2024-02-10,Legs,28,3,10,34
2024-02-10,Legs,29,2,25,0
2024-02-12,Push,6,3,10,46
2024-02-12,Push,7,3,10,20
2024-02-12,Push,8,3,10,20
2024-02-12,Push,9,2,10,8
2024-02-12,Push,10,3,10,16
2024-02-12,Push,11,3,10,16
2024-02-15,Pull,13,3,10,20
2024-02-15,Pull,14,3,10,16
2024-02-15,Pull,17,2,10,20
2024-02-15,Pull,18,2,15,16
2024-02-15,Pull,19,3,10,20
2024-02-17,Legs,27,3,10,20
2024-02-17,Legs,28,3,10,34
2024-02-17,Legs,29,2,25,0
2024-02-19,Push,6,3,10,46
2024-02-19,Push,7,3,10,20
2024-02-19,Push,8,3,10,20
2024-02-19,Push,9,2,10,8
2024-02-19,Push,10,3,10,20
2024-02-19,Push,11,3,10,16
2024-02-21,Pull,13,3,10,20
2024-02-21,Pull,14,3,10,16
2024-02-21,Pull,17,2,10,20
2024-02-21,Pull,18,2,15,16
2024-02-21,Pull,19,3,10,20
2024-02-23,Legs,27,3,10,24
2024-02-23,Legs,28,3,10,34
2024-02-23,Legs,29,2,25,0
2024-02-26,Push,6,3,10,48
2024-02-26,Push,7,3,10,20
2024-02-26,Push,8,3,10,20
2024-02-26,Push,9,2,10,8
2024-02-26,Push,10,3,10,20
2024-02-28,Pull,13,3,10,24
2024-02-28,Pull,14,3,10,18
2024-02-28,Pull,17,2,10,20
2024-02-28,Pull,18,2,15,18
2024-02-28,Pull,19,3,10,20
2024-03-01,Legs,27,3,10,24
2024-03-01,Legs,28,3,10,34
2024-03-01,Legs,29,2,25,0
2024-03-04,Push,6,3,10,48
2024-03-04,Push,7,3,10,20
2024-03-04,Push,8,3,10,20
2024-03-04,Push,9,2,10,8
2024-03-04,Push,10,3,10,20
2024-03-07,Pull,13,3,10,24
2024-03-07,Pull,14,3,10,18
2024-03-07,Pull,17,2,10,20
2024-03-07,Pull,18,2,15,18
2024-03-07,Pull,19,3,10,24
2024-03-08,Legs,27,3,10,30
2024-03-08,Legs,28,3,10,34
2024-03-08,Legs,29,2,25,0
2024-03-11,Push,6,3,10,48
2024-03-11,Push,7,3,10,22
2024-03-11,Push,8,3,10,22
2024-03-11,Push,9,2,10,8
2024-03-11,Push,10,3,10,20
2024-03-14,Pull,13,3,10,24
2024-03-14,Pull,14,3,10,18
2024-03-14,Pull,17,2,10,20
2024-03-14,Pull,18,2,15,18
2024-03-14,Pull,19,3,10,26
2024-04-07,Legs,27,3,10,30
2024-04-07,Legs,28,3,10,34
2024-04-07,Legs,29,2,25,0
2024-04-08,Push,6,3,10,48
2024-04-08,Push,7,3,10,22
2024-04-08,Push,8,3,10,22
2024-04-08,Push,9,2,10,8
2024-04-10,Pull,13,3,10,24
2024-04-10,Pull,14,3,10,18
2024-04-10,Pull,17,2,10,20
2024-04-10,Pull,18,2,15,18
2024-04-10,Pull,19,3,10,26
2024-04-14,Legs,26,3,10,0
2024-04-14,Legs,27,3,10,30
2024-04-14,Legs,28,3,10,34
2024-04-14,Legs,29,2,25,0
2024-04-15,Push,6,3,10,48
2024-04-15,Push,7,3,10,22
2024-04-15,Push,8,3,10,22
2024-04-15,Push,9,2,10,8
2024-04-18,Pull,13,3,10,24
2024-04-18,Pull,14,3,10,18
2024-04-18,Pull,17,2,10,20
2024-04-18,Pull,18,2,15,18
2024-04-18,Pull,19,3,10,26
2024-04-20,Legs,26,3,10,0
2024-04-20,Legs,27,3,10,30
2024-04-20,Legs,28,3,10,34
2024-04-20,Legs,29,2,25,0
2024-04-23,Push,6,3,10,48
2024-04-23,Push,7,3,10,22
2024-04-23,Push,8,3,10,22
2024-04-23,Push,9,2,10,8
2024-04-24,Pull,13,3,10,24
2024-04-24,Pull,14,3,10,18
2024-04-24,Pull,17,2,10,20
2024-04-24,Pull,18,2,15,18
2024-04-24,Pull,19,3,10,26
2024-04-26,Legs,26,3,10,0
2024-04-26,Legs,27,3,10,30
2024-04-26,Legs,28,3,10,34
2024-04-26,Legs,29,2,25,0
2024-04-29,Push,6,3,10,48
2024-04-29,Push,7,3,10,22
2024-04-29,Push,8,3,10,22
2024-04-29,Push,9,2,10,8
2024-05-02,Pull,13,3,10,26
2024-05-02,Pull,14,3,10,18
2024-05-02,Pull,17,2,10,20
2024-05-02,Pull,18,2,15,18
2024-05-02,Pull,19,3,10,26
2024-05-05,Legs,26,3,10,0
2024-05-05,Legs,27,3,10,30
2024-05-05,Legs,28,3,10,34
2024-05-05,Legs,29,2,25,0
2024-05-06,Push,6,3,10,48
2024-05-06,Push,7,3,10,22
2024-05-06,Push,8,3,10,22
2024-05-06,Push,9,2,10,8
2024-05-08,Pull,13,3,10,30
2024-05-08,Pull,14,3,10,18
2024-05-08,Pull,17,2,10,20
2024-05-08,Pull,18,2,15,18
2024-05-08,Pull,19,3,10,30
2024-05-10,Legs,26,3,10,0
2024-05-10,Legs,27,3,10,34
2024-05-10,Legs,28,3,10,34
2024-05-10,Legs,29,2,25,0
2024-05-25,Push,6,3,10,48
2024-05-25,Push,7,3,10,22
2024-05-25,Push,8,3,10,22
2024-05-25,Push,9,2,10,8
2024-06-03,Push,6,3,10,48
2024-06-03,Push,7,3,10,22
2024-06-03,Push,8,3,10,22
2024-06-03,Push,9,2,10,8
2024-06-05,Pull,13,3,10,34
2024-06-05,Pull,14,3,10,18
2024-06-05,Pull,17,2,10,20
2024-06-05,Pull,18,2,15,18
2024-06-05,Pull,19,3,10,30
2024-06-08,Legs,26,3,15,0
2024-06-08,Legs,27,3,10,34
2024-06-08,Legs,28,3,10,34
2024-06-08,Legs,29,2,25,0
2024-06-10,Push,6,3,10,48
2024-06-10,Push,7,3,10,22
2024-06-10,Push,8,3,10,22
2024-06-10,Push,9,2,10,8
2024-06-14,Pull,13,3,10,34
2024-06-14,Pull,14,3,10,18
2024-06-14,Pull,17,2,10,20
2024-06-14,Pull,18,2,15,18
2024-06-14,Pull,19,3,10,30
2024-06-18,Push,6,3,10,48
2024-06-18,Push,7,3,10,22
2024-06-18,Push,8,3,10,22
2024-06-18,Push,9,2,10,8
2024-06-19,Pull,13,3,10,34
2024-06-19,Pull,14,3,10,18
2024-06-19,Pull,17,2,10,20
2024-06-19,Pull,18,2,15,19
2024-06-19,Pull,19,3,10,30
2024-06-22,Legs,26,3,15,0
2024-06-22,Legs,27,3,10,34
2024-06-22,Legs,28,3,10,34
2024-06-22,Legs,29,2,25,0
2024-06-24,Push,6,3,10,50
2024-06-24,Push,7,3,10,22
2024-06-24,Push,8,3,10,22
2024-06-24,Push,9,2,10,8
2024-06-26,Pull,13,3,10,34
2024-06-26,Pull,14,3,10,20
2024-06-26,Pull,17,2,10,20
2024-06-26,Pull,18,2,15,20
2024-06-26,Pull,19,3,10,30
2024-06-28,Legs,26,3,15,0
2024-06-28,Legs,27,3,10,42
2024-06-28,Legs,28,3,10,34
2024-06-28,Legs,29,2,25,0
2024-07-01,Push,6,3,10,50
2024-07-01,Push,7,3,10,24
2024-07-01,Push,8,3,10,24
2024-07-01,Push,9,2,10,8
2024-07-08,Push,6,3,10,50
2024-07-08,Push,7,3,10,24
2024-07-08,Push,8,3,10,24
2024-07-08,Push,9,2,10,8
2024-07-12,Pull,13,3,10,34
2024-07-12,Pull,14,3,10,20
2024-07-12,Pull,17,2,10,20
2024-07-12,Pull,18,2,15,20
2024-07-12,Pull,19,3,10,30
2024-07-14,Legs,26,3,15,0
2024-07-14,Legs,27,3,10,42
2024-07-14,Legs,28,3,10,34
2024-07-14,Legs,29,2,25,0
2024-07-15,Push,6,3,10,50
2024-07-15,Push,7,3,10,24
2024-07-15,Push,8,3,10,24
2024-07-15,Push,9,2,10,8
2024-07-18,Pull,13,3,10,34
2024-07-18,Pull,14,3,10,20
2024-07-18,Pull,17,2,10,20
2024-07-18,Pull,18,2,15,20
2024-07-18,Pull,19,3,10,30
2024-07-19,Legs,26,3,15,0
2024-07-19,Legs,27,3,10,42
2024-07-19,Legs,28,3,10,34
2024-07-19,Legs,29,2,25,0
2024-07-22,Push,6,3,10,50
2024-07-22,Push,7,3,10,24
2024-07-22,Push,8,3,10,24
2024-07-22,Push,9,2,10,8
2024-07-24,Pull,13,3,10,34
2024-07-24,Pull,14,3,10,20
2024-07-24,Pull,17,2,10,20
2024-07-24,Pull,18,2,15,20
2024-07-24,Pull,19,3,10,30
2024-07-26,Legs,26,1,70,0
2024-07-26,Legs,27,3,10,42
2024-07-26,Legs,28,3,10,34
2024-07-26,Legs,29,2,25,0
2024-07-28,Push,6,3,10,50
2024-07-28,Push,7,3,10,24
2024-07-28,Push,8,3,10,24
2024-07-28,Push,9,2,10,8
2024-08-01,Pull,13,3,10,34
2024-08-01,Pull,14,3,10,20
2024-08-01,Pull,17,2,10,20
2024-08-01,Pull,18,2,15,20
2024-08-01,Pull,19,3,10,30
2024-08-02,Legs,26,1,70,0
2024-08-02,Legs,27,3,10,42
2024-08-02,Legs,28,3,10,34
2024-08-02,Legs,29,2,25,0
