id_exercice,name_exercice
6,Bench press
7,Dumbbell shoulder
8,Dumbbell incline chest
9,Dumbbell side lateral
10,Dumbbell skull crusher
11,Standing overhead dumbbell
12,Push-ups
13,Bent over row
14,Dumbbell pullover
15,Barbell overhead press
16,Dips
17,Standing Barbell
18,Dumbbell row unilateral
19,Barbell curl
20,Dumbbell hammer curl
21,Rowing Barbell
22,Elastic pull
23,Pull over barbell
24,Curl elastic
25,Face pull
26,Squats
27,Romanian dead lift
28,Seated leg curl
29,Calf raises
30,Front Raise
31,Chin-ups
32,Chin-ups elastic 15kg
33,Pull inverted row
34,Hamstring Curl
35,Leg Press
36,Outer thigh machine
37,Climbmill
38,Skipping rope
39,Dumbbell lunges
40,Dumbbell squats
41,Bulgarian Squats
