time,type,id_exercice,nb_series,nb_repetition,weight
2023-12-25,Push,12,3,10,38
2023-12-25,Push,13,3,10,16
2023-12-25,Push,14,3,10,20
2023-12-25,Push,15,2,10,8
2023-12-25,Push,16,3,10,14
2023-12-25,Push,17,3,10,14
2024-01-01,Push,12,3,10,42
2024-01-01,Push,13,3,10,18
2024-01-01,Push,14,3,10,22
2024-01-01,Push,15,2,10,8
2024-01-01,Push,16,3,10,16
2024-01-01,Push,17,3,10,14
2024-01-04,Pull,24,3,10,20
2024-01-04,Pull,20,3,10,12
2024-01-04,Pull,26,2,10,10
2024-01-04,Pull,27,2,15,14
2024-01-04,Pull,28,3,10,20
2024-01-04,Pull,29,3,10,12
2024-01-05,Legs,35,2,25,0
2024-01-05,Legs,36,3,10,30
2024-01-05,Legs,38,3,10,30
2024-01-05,Legs,39,2,25,0
2024-01-08,Push,12,3,10,44
2024-01-08,Push,13,3,10,20
2024-01-08,Push,14,3,10,24
2024-01-08,Push,15,2,10,8
2024-01-08,Push,16,3,10,16
2024-01-08,Push,17,3,10,16
2024-01-10,Pull,24,3,10,24
2024-01-10,Pull,20,3,10,14
2024-01-10,Pull,26,2,10,20
2024-01-10,Pull,27,2,15,14
2024-01-10,Pull,28,3,10,20
2024-01-10,Pull,29,3,10,12
2024-01-12,Legs,35,2,25,0
2024-01-12,Legs,36,3,10,32
2024-01-12,Legs,38,3,10,32
2024-01-12,Legs,39,2,25,0
2024-01-15,Push,12,3,10,46
2024-01-15,Push,13,3,10,22
2024-01-15,Push,14,3,10,26
2024-01-15,Push,15,2,10,8
2024-01-15,Push,16,3,10,16
2024-01-15,Push,17,3,10,16
2024-01-17,Pull,24,3,10,26
2024-01-17,Pull,20,3,10,16
2024-01-17,Pull,26,2,10,22
2024-01-17,Pull,27,2,15,16
2024-01-17,Pull,28,3,10,20
2024-01-17,Pull,29,3,10,12
2024-01-19,Legs,35,2,25,0
2024-01-19,Legs,36,3,10,34
2024-01-19,Legs,38,3,10,36
2024-01-19,Legs,39,2,25,0
2024-02-10,Legs,36,3,10,20
2024-02-10,Legs,38,3,10,34
2024-02-10,Legs,39,2,25,0
2024-02-12,Push,12,3,10,46
2024-02-12,Push,13,3,10,20
2024-02-12,Push,14,3,10,20
2024-02-12,Push,15,2,10,8
2024-02-12,Push,16,3,10,16
2024-02-12,Push,17,3,10,16
2024-02-15,Pull,24,3,10,20
2024-02-15,Pull,20,3,10,16
2024-02-15,Pull,26,2,10,20
